,評論標題,評論內容
0,Beginner: 請參考範例1-6-2乳癌預測資料集解決過擬合.ipynb作答 . 請問在何處與如何下載範例1-6-2.ipynb,Beginner: 請參考範例1-6-2乳癌預測資料集解決過擬合.ipynb作答 . 請問在何處與如何下載範例1-6-2.ipynb
1,心得,"在雲端硬碟共用連結：https://drive.google.com/drive/folders/1x7zQrRwT8mMKcityLe5hBXkr56BuQ4It?usp=sharing
請先登入您的Google雲端硬碟，再點上面連結，以後在與我共用就可以看到"
2,有很多地方（專有名詞）表達不清楚,程式範例多元 ! 但就於課程內容量和講義講解方式對初學者可能稍顯吃力，例如需要看完後面程式範例講解，才能理解前面某些的講義說明是甚麼意思。
3,Python 資料分析：AI 機器學習入門到應用,謝謝評價，已經開始製作加值版，將第一章中部分單元抽出改以簡化方式介紹，預定11月完成上線，歡迎屆時回頭看看提出指教(學員都可以免費回看)。
4,完全不知道在做什麼,有很多地方（專有名詞）表達不清楚（這個課程內容算是進階的，難度也是較高的）。
5,Python 資料分析：AI 機器學習入門到應用,感謝您的指教，希望可以重新看看還有什麼地方有問題，可以利用問題討論的方式進行互動。本課程提供程式碼希望讓新手先實作再熟悉語法，先有完成操作的成就感，才不會一開始就卡關在指令語法的挫折中。另外因為都看不到您的作業繳交，建議可以試著繳交一些作業，老師可以透過作業協助確認您的學習情況，看看怎樣協助您成長。
6,內容豐富,"1.    老師的上課模式會照著講義念，而且講義的內容大多為文字敘述，鮮有圖表。導致學生學習的當下，會不懂這段話到底想表達什麼意思？後面會有實例操作，也是逐行念過去，部分核心超參數也沒有解釋。覺得上課的效益等同於去書籍買書自修。
2.    個人認為可以解釋一些模型的原理，將原理以簡單的口吻解釋給同學聽，這邊給一個參考影片：『https://www.youtube.com/watch?v=Lms4cB57Nq0&ab_channel=PyInvest』。
3.    假如同學希望上完這堂課，能夠參加kaggle競賽並得到良好的leader board成績，或是想要餐與公司ML專案，那麼這堂課比較不適合您。
4.    上完這堂課，是否能考取TQC+證照？答案是肯定的，雖然課程內容比較難聽懂，但是TQC+考題固定且簡單，所以將考試題目不斷練熟，一定會通過！
5.    綜合授課方式、內容、時間以及費用，絕對值得3顆星，整體CP值偏中上。
「謝謝老師錄製這些教學影片」"
7,Python 資料分析：AI 機器學習入門到應用,感謝您的指教，希望可以重新看看還有什麼地方有問題，可以利用問題討論的方式進行互動。本課程提供程式碼希望讓新手先實作再熟悉語法，先有完成操作的成就感，才不會一開始就卡關在指令語法的挫折中。
8,讚,我十幾年前大學唸統計，碩士唸數學，理論都明白，是來學寫程式的。在上這個A.I課之前，我已經特意上了Python入門特訓 & Python爬蟲特訓，那位老師教得很好。然而，這個A.I.課真的不行－－理論講得太冗長，實例卻太簡陋，只是開著一大篇早已完成的程式碼逐行讀。我既不知道寫那程式的背景和目的，也不知道是跟著什麼邏輯怎樣寫出來的，又不知道當中一些程式碼的用法，還有各個參數的意思。非常抱歉，我一定要破例給個1星才行，因為真的完全學不到東西，好失望。
9,很棒且踏實的課程,"感謝您的指教，有關您的意見，回應如下：
1.本課程是依據TQC+人工智慧-機器學習證照的技能規範編製，由一群在人工智慧/機器學器領域研究很久的老師與具有實務經驗業界人士訂定，根據這個規範，相關理論我已經儘量用精簡的方式介紹。希望可以重新看看還有什麼地方有問題，可以利用問題討論的方式進行互動。
2.實例大多數為證照相關考題與各套件原始文件實例，很抱歉必須納入介紹給有志考取此證照的學員。本課程提供程式碼希望讓新手先實作再熟悉語法，先有完成操作的成就感，才不會一開始就卡關在指令語法的挫折中。"
10,很棒的課程,內容豐富，實例多
11,還行吧,感謝評價，一起成長。
12,課程內容豐富多元,實例多
13,Python 資料分析：AI 機器學習入門到應用,感謝評價，一起成長。
14,深奧機器學習的入門課,課程內容充實，範例說明充足。
15,感謝教學,感謝評價，一起成長，邁向資料科學家之路。
16,課程很棒,讚
17,課後結果之評價回饋,感謝評價，一起邁向資料科學家之路。
18,none,老師不光只是舉例和講解程式語法，還介紹並說明理論基礎，加上老師的用語都很親切，讓我覺得透過這門課，了解什麼是「機器學習」、為什麼要學習它及它該如何應用，是很踏實的一個學習過程。
