,評論標題,評論內容
0,即戰力的課程!,"學到很多商業實戰的分析和模型
也有提供很多實用的模組可以實際套入我們的需求中!
"
1,講解清楚，內容實用,"不只有程式碼及模型教學，老師更從商業角度讓學生了解在實務操作上該採取什麼樣的切入角、以便讓老闆認同自己的分析結果。
課程時數長，內容也多，可以先快速看完各單元後再挑自己不太熟悉的部分反覆練習。"
2,"循序漸進建立觀念,最後實務操作","老師上課方式是以先講解該章節欲帶入的主題,
循序漸進建立觀念,最後實務操作程式碼等
較著重於觀念及行銷意涵
"
3,有效協助資訊背景人員以商業的角度思考,以行銷的觀點解釋資料，可幫助非商背景的資訊人員，更容易在演算法上加上商業的角度
4,可能會聽得一頭霧水,"講師的上課方式比較適合線下課程：補習班或講座
線下課程因為不能重播、而且學生眾多，需要針對操作性的細節不斷重複說明，而且不能太複雜，以免有人跟不上

Hahow的線上課程，其實不會有這些問題
所以可以講得更深入，操作性細節也不需要一直重複講


對於模型的原理講解的也是講不清楚
「詐欺偵測」章節那邊，甚至連哪些變數重要 都沒有提到，直接說模型結果很好，省很多錢
讓人一頭霧水，這個預測到底是怎麼做出來的
這樣不求甚解的操作，感覺很危險

LIME模型的使用情境，什麼時候該用，為什麼要用，模型是怎麼做出這個結果的
也是沒有講得很清楚，我也是另外再去查，才終於搞懂老師在做什麼

整體而言，課程的架構真的有點亂，講完XGboost，又回頭講羅吉斯回歸、又跳去講決策樹。
建議先完整介紹基礎模型，完了再往變化型去介紹"
5,師父領進門 修行在個人,"Joey您好！ 非常感謝您的回饋與不吝指教！

以下也簡易針對您的指教提供回饋

在設計本門課程的時候，期望能將專案幕後的細節分享給各位學員，讓各位學員能夠學以致用，能彈性修改，符合自身需求，這部分我會參酌您的意見，持續努力~！ 

有關於套件部分，我也竭力在實戰模組前分享模組中的細節，例如：利潤評估模型方法大解密、節流省錢清單實作等單元，也期望循序漸進，帶學員一同了解相關的商務管理意涵
另外，同時也希望學員能對此門課提供的模組內容更深入了解，在面對多變的資料型態能更易變通。因此才會教大家作套件內容的細部操作，以期達到雙重效果。

模型的原理部分，在【章節4 商務分類模型概念 & Python實戰】有進行一系列的說明，同時在4-3、4-4與4-5老師的話中也有原始模型原理的補充教材哦，非常歡迎您參考

詐欺偵測的部分，為求真實呈現，使用的是部分實際資料集，所以變數有做一些去識別化的處理，變數在課程單元也有透露一部分，詳細部分可以參考【章節6-1 詐欺偵測分析 - 情境與資料變數介紹】。若您欲了解相關的變數重要性，可以試著參考【章節6-4 Python實戰 - 節流省錢清單實作】與【章節7-總體服務體驗分析】，嘗試練習看看哦。預測可以參考【章節5 開源獲利實戰】所使用的模型哦。

後面在服務體驗分析單元部分，我會再次談到XGboost、羅吉斯回歸與決策樹的部分原因主要是為了讓各位學員再次複習模型的基礎，再理解該些模型如何更深層次應用在服務體驗分析

再次感謝您的指教，我會更注意細節的部份，持續努力並改進 ~！"
6,是一門良好機器學習基礎練工的入門題材,整個課程圍繞在三種模型。使用這三種模型的各種相關應用。
7,著重業界角度看資料行銷,"James Wang您好！
非常感謝您的回饋與支持！我們課程主要圍繞在XGBoost、logistic regression與Random Forest，盡力發揮三種模型所長，讓機器學習的商務變得更易入門！ 
真的很感謝您的支持！"
8,非常推薦,"整體的說明均十分順暢，即使未具備python撰寫之能力
老師亦簡單說明相關重要之python基本技巧
但是，仍要再自行去吸收其他不懂之套件內容，才能融會貫通本課程。"
