,評論標題,評論內容
0,Azure Machine Learning,這個課程很適合從未學習過程式語言，第一次接觸機器學習，想進行大數據分析的人。
1,推!,適合想要認識資料科學的人
2,適合初學者,適合沒接觸過r、python初學者初步了解機器學習
3,nice class ,A nice class for everyone who wants to learn more about AI machine learning.
4,學完會對azure操作有基礎認識，另這門課對入門機器學習可能可以再多些說明,"看完一次後實際操作可以知道從資料分析閕始，如何把資料做選取及整理，包括特徵工程及補空值，找出適合分析的欄位，再選取適當的模型去分析這些資料，例如二元分類或是決策樹的方式去檢定這些資料引申出的結果，進而可以知道這些模型是否正確。可以對一整個資料分析及機器學習流程有大致了解。
但我覺得如果沒有一些統計分析的相關知識，可能不知道這些方式的參數要如何設定會比較適當，之後可能不知道要如何使用這些模型在實際的資料當中。"
5,課程評價,老師教得很用心，架構整理也很棒，很推薦
6,很好的入門課程,"雖然R和Python的功能很強大，
但對大多數人來說，
Azure Machine Learning Studio是很方便的入門工具，
功能其實也不弱。
希望未來能開有關AMLA更進階一些的課程。"
7,內容清晰易瞭 ,課程循序漸進，很有收穫！
8,完整且詳細的內容,對Azure的瞭解有了基礎的認知，建立了之後想更進一步的基礎，推薦給想學習的大家！
9,資料科學：Azure 機器學習工作室入門,"適合想學習AZURE的同學~~
但建議可能要有點機器學習、統計、PYTHON的概念比較能上手這門課唷!!"
