,課程名稱,評價星等,評論數,總影片時長,觀看數,價格,課程簡介,評論標題,評論內容
0,【生活裡的花與器】風格美感花藝選搭課,4.96,26,171,654,2480,"1. 明確瞭解基礎花藝所須具備之花卉知識、照護方法
2. 加強花與器的選搭美感及創作靈感養成
3. 有能力製作出多種不同風格的花器搭配作品
4. 能以此課程為基礎，製作自己的風格作品","['實用且非常適合入門的初學者學習', '非常充實又有趣的課程', '好喜歡', '很實用的花藝課', '很有收穫', '很喜歡老帥的內容及口條', '初學者容易上手實用的課程', '非常適合初學者對於買回家的花該如何處理即擺放', '講解的很清楚', '會讓人愛上花的課程', '在生活中添加美感', '適合花藝入門零基礎', '謝謝美麗的艾琳老師帶來的美好花課', '視覺與聽覺的美好饗宴', '看得好想馬上插束花', '有花的日子', '出乎意料的收穫滿滿 ', '想開始在家裡擺上一盆花', '輕鬆明確的花藝知識', '對沒基礎的初學者是很好的入門', '很實用的一堂課！', '好有美感的課程', '豐富精彩的內容', '豐富的課程', '簡單易懂的教學，學到不簡單的插花技巧！', '某些影片解析度偏低']","['老師用讓人淺顯易懂的方式，讓初學者可以在這短短幾堂課抓到一些入門的重點與技巧，真的是非常用心的課程推推推~', '老師的口條很清楚聲音又好聽，上課過程非常舒服，\n光是放著當工作背景音樂都覺得很棒！\n透過課程學到很多跟花藝相關的知識和技法，\n是我上過多堂線上花藝課程中最值回票價的，超級推薦！', '簡單又很清楚的內容，覺得老師很有條理講得讓人馬上就可以理解！', '對新手來說是非常好入手的課程，老師講解很清晰、又耐心舉例驗證所說的理論。期待老師再開課。', '很有收穫', '很喜歡老帥的內容及口條', '老師的講解非常的實用，看完幾堂課就讓人非常心動，\n隔天馬上前往內湖花市選購花材做日常生活搭配。\n第一次逛花市如此開心，以前都挑自己看對眼的花，現在學會課程教的分類\n知道花有分空間、線條、塊狀 了解分類後再挑選喜歡的花與色系，回到家插花擺放覺得超有收穫!\n非常推薦像我一樣喜歡花、享受擺設居家氛圍的人，我也是花藝的初學者，老師的課既實用工具又隨手可得唷!\n', '上完課讓我受益良多, 老師條理清晰, 讓人很容易了解,  原來花有這樣分類, 不是所有的花處理方式都一樣, 本身就喜歡美的事物,花是有生命力也有療癒人的無線延展力量, 老師課程條理清晰讓初學者很容易入門,非常值得推薦的課程~ ', '很喜歡老師介紹花的習性', '很具美感的課程，老師美，花也美。\n講解了很多關於花，照護，設計理念的知識。\n會讓人更了解花，更喜歡花，更想在生活裡擁有花。\n\n老師會很用心地給予作業上的反饋，真的很實用! ', '配置法和黃金比例很實用，很適合用在許多物件的擺設', '喜歡老師講解的基本觀念和理論技巧，適合新手零基礎入門', '不知不覺就把課程看完了呢～\n還蠻喜歡這一系列課程，講師說明清楚好懂。\n貼心告訴學員若預算不夠的作法。\n用簡單的花材就可以創造美麗的生活。', '從基礎一步步有條理的介紹到熟練發揮展現,課程的內容,讓人看完一課接著一課停不下來,而且除了課程內容充實,老師長的很漂亮且聲音很好聽,流暢的口條不斷建立課程中學到的概念加以驗證與發揮,讓人印象深刻且更想立即衝去花市馬上開始進行,以前雖然也學過一陣子花藝,但似乎都沒有抓到訣竅,聽完了這個花藝課程終於獲得要領,而且課程中所做的花藝搭配也都非常美,真的像是經歷了一場視覺與聽覺的美好饗宴,這堂課程真的收穫滿滿,很推薦對於花藝有興趣想入門的朋友,絕對不要錯過!', '老師的口才很好，講述的內容很有條理、組織性，而且會一再重複原則，加深印象，作品選用的花卉也以常見的花為主，也有生活小物的搭配使用，很實在，可惜在疫情期間，好想到內湖花市逛逛，不然先到附近的花店買點花來試試。', '以前就很喜歡花，但一直沒有頭緒也沒有習慣把花放進生活裡，講師開始影響我，越來越喜歡欣賞不同的花藝作品，後來就有了線上課程，內容很豐富而且也整理得很好，讓我在想重新複習哪一個部分的時候可以很清楚地找到。非常值得～～～', '會購買這次的線上課程\n是因為蠻喜歡浪花的各式花藝設計\n加上本身喜歡花 喜歡美的事物\n想更進一步學習各式花相關知識\n剛好這個線上課程是很好的機會\n\n一開始沒有想太多的開始的線上學習\n沒想到課程內容那麼豐富 講解的很詳細\n完全超乎想像的收穫滿滿\n更是讓人有想馬上買花實作的衝動\n除了讓人對花藝有更進一步的認識外\n也更喜歡花 想更深入了解花及花藝的想法\n也開始做花 綁花送給身邊的朋友們\n非常值得的課程 \n線上教學又超方便', '原本覺得自己跟植物不熟，要學插花應該很不容易，不過老師的課很有組織的規劃，從帶我們認識花、準備材料，到簡易的居家插花，內容易懂又兼具美感！對覺得花很美，想開始在家裡擺上一盆花的人，是很好的入門。大推', '沒有複雜的理論陳述, 全部課程前後連貫, 主軸明確, 讓我有信心, 相信生活中有花是件可以做的的事', '看完線上課程後有很多實用的技巧與對美感的培養很有幫助\n已經等不及要去花市買花佈置空間了！\n', '對於很迷茫但又很想接觸花藝得新手如我, \n這真的是一堂很棒的入門課～\n老師將重點/概念講的很清楚, 口語表達得非常順暢! \n大推～', '老師的花材示範及場景搭配得宜，值得一看再看的課程，實際運用在家居 ，信手拈來就有風情，現在生活幾乎已離不開花了。', '畫面呈現很美很舒服，講解的很詳細也吸收到很多關於花藝的知識，更棒的是能夠運用所教的技巧跟示範去嘗試自己的居家花藝，讓自己生活的空間有美麗的花相伴，讓生活裡有花朵的生命力！', '雖然只有短短幾小時，但課程內容豐富，講解的也非常詳細。\n因為課程認識了不少花種和適合的花器，收穫良多', '未上過課程之前覺得花很漂亮，但是怎麼插顯現不出它的美感！現在上完課之後，蠻有信心能夠插出一盆好看的花藝！', '課程內容豐富\n但有幾部影片解析度畫質偏低']"
1,宅栽的觀葉植物學：讓你掌握居家種植 SOP,0.0,0,140,187,1800,"三大階段帶你掌握教學 10 年的植物種植精華！
🌱 用四大環境元素去提升植物的存活率，包含光線調整、澆水技巧、土壤介質...
🌱 種植進階技巧大公開，像是肥料使用時機與方式、病蟲害觀察與防治、修剪邏輯與訣竅，讓你昇華植物的美感！
🌱 為你破解網路上錯誤的種植觀念，並透過實作練習，更學習更落地。",[],[]
2,創作你的療癒香草茶！百種風味搭配邏輯,5.0,29,87,397,1680,"＊懂得 33 種常見香草的風味特性與搭配邏輯，掌握至少 100 種以上的香草組合配方。
＊調出獨一無二的私我香草茶。
","['感動', '一天的優閒時光', '很療癒的一門課', '實用的課程', '淺顯易懂', '認識不同香草和香草茶', '香草詳細新認知', '療癒力香草茶', '老師可愛的笑容，替上課加分', '有趣的香草角色', '香草茶收獲', '簡單掌握香草花茶製作方式', '香草長知識', '讓香草們演一齣美妙的戲~', '課程評價', '香草魔法療癒的好課程', '非常好，非常喜歡的課程', '香氣魔法', '清楚易懂的課程', '非常有趣的課程', '很有意思的課', '很充實的課程', '很舒壓的課', '好課程', '推薦大家可以來上課', '講解精細', '創作你的療癒香草茶！百種風味搭配邏輯', '完整豐富的內容', '聽完課程心得']","['謝謝老師讓我認識這麼多種香草而且還很詳細的解說香草的搭配', '對於香草的喜愛 一直不知如何著手 看到了這門學習課程 對於香草知識門外漢的我 是一種驚喜\n老師在課堂上 用特別的方式 將之分類 讓我輕鬆好記憶 知所以然  而且一目了然 真感謝！', '上完課後來喝杯香草茶🍵夢幻無比，本身喜歡栽種，完全結合了動手做自製食，推薦給庸庸碌碌的朋友，喝上一杯身心靈舒暢', '老師列舉出較常見的香草種類，並依不同的特性分成不同種類，讓學員未來可以自己調配出屬於自己的配方。也加碼教學香草的種植方式和推薦一些購買通路。很適合香草新手一起來進入香草的世界!', '適合對香草有興趣的初學者，錯過募資特價會有點可惜，有一點太貴了，但內容很獨特，別人沒有，也可以增長知識', '初學者可以認識不同的香草和香草茶，課程不會太難，很好吸收！', '詳細寫實地學習香草的種類、搭配、沖配、種植知識。\n', '開始研發部落馬告和刺蔥適合🈴️的香草茶😉', '初學者可以更好的認識香草種類，大致了解如何分類搭配\n\n但是有一些實際操作的視角 拍攝時沒有近拍特寫畫面， 會不了解想呈現的意思（可以更好\n\n但整體來說，還是非常推薦這門課！', '老師分類出有趣的香草角色，在複方搭配上有更好的記憶效果！', '看到課程很有層次感，也透過認識來自大自然的香草有更多創意和美麗花色的渲染，感受那份用心，愛香草茶的豐富，也不禁想更深入進入這個農場裡，親自體驗香草風味和聞香的氣息', '簡單清楚介紹個香草特色以及搭配方式,\n很值得在家中自己種植與嘗試搭配.', '課程增加我對香草的認識，讓我繼續學習下去', '既有趣又很記憶點的香草分類方式，老師將33位常見的香草們按照他們的特性分成五大類的角色，也將每位香草個人及之間的搭配很有系統且詳細的介紹了，覺得只要能掌握好香草們彼此的屬性就能很有邏輯性的調和出適合的搭配呢~\n\n', '課程內容扎實，與實務經驗相得益彰。', '利用香草的香氣、色彩、功效製作的香草茶很療癒身心', '短短87分鍾的時間，能聽到香草教父尤老師對香草研究有22年的經驗、用心與瞭解，非常值得。\n老師的循序漸進地方式教學，讓我這個新學者門外漢，有香草組合概念。非常感謝製作單位有這門課程，更感謝教學經驗豐富的老師我非常喜歡這門課程。', '老師所教的香草搭配，很好玩。\n將每一個香氣都充分的了解，也告知大家哪些香氣搭起來很舒服，謝謝老師', '老師講解清楚，教材精美實用。', '每堂課都會先簡單的說明香草的特性，並講解如何進行搭配，也會分享一些老師的配方給大家參考，對我而言，是很有趣的一門課', '講得很詳細，非常想要自己動手跟著配看看', '老師很細心認真的教學\n很實用的課程', '看著老師講述著各種配方、新鮮的花草在玻璃壺裡泡散開來，彷彿香氣就在眼前呈現，好舒壓~~', '清楚明瞭的講解，對香草茶種植更有興趣了。', '清楚講解香草花的用途跟搭配很不錯的一堂課', '老師把會有的問題點都講到了，非常好的課程', '獲益良多，謝謝老師~', '很有邏輯性的五大角色分類，探討彼此的搭配性，掌握這樣的邏輯就很容易配出適合自己口味，又不容易產生地雷的香草茶', '老師講的精細易懂,內容很有趣,對沖泡配方搭配覺得有幫助,太棒了']"
3,從小白到育種玩家：觀葉植物基礎栽培10堂課,0.0,0,201,21,3200,"- 認識觀葉植物的種類
- 瞭解如何選擇、照顧觀葉植物
- 學習育種的基本方法與技巧
- 認識常見病蟲害與預防對策
- 種植觀葉植物的常見問題整理",[],[]
